Name,Sex,Event,Equipment,Age,BodyweightKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Dots,Federation
Lifter 5547,M,SBD,Raw,39.0,82.7,142.0,87.2,165.3,394.5,172.6,USPA
Lifter 5548,F,SBD,Raw,,44.0,58.1,33.9,60.8,152.8,107.3,WRPF
Lifter 5549,M,SBD,Raw,26.0,66.8,134.0,105.1,155.5,394.6,202.7,IPF
Lifter 5550,M,SBD,Raw,50.0,44.9,81.2,51.8,82.2,215.2,148.9,IPF
Lifter 5551,M,SBD,Single-ply,31.0,97.6,181.5,110.8,201.3,493.6,190.8,USAPL
Lifter 5552,M,SBD,Raw,36.0,135.0,151.4,136.8,216.1,504.3,152.8,WRPF
Lifter 5553,M,SBD,Raw,32.0,102.7,258.6,134.2,143.0,535.8,199.3,IPF
Lifter 5554,F,SBD,Raw,53.0,62.6,55.6,36.6,66.7,158.9,85.7,USPA
Lifter 5555,F,SBD,Raw,32.0,63.0,89.2,28.9,100.4,218.5,117.3,IPF
Lifter 5556,M,SBD,Raw,,90.5,122.5,69.3,86.9,278.7,114.0,USAPL
Lifter 5557,M,SBD,Wraps,,72.3,135.5,100.1,153.7,389.3,188.4,USAPL
Lifter 5558,F,SBD,Multi-ply,45.0,63.7,72.8,51.5,86.3,210.6,112.1,USAPL
Lifter 5559,M,SBD,Raw,36.0,98.0,158.5,122.5,184.5,465.5,179.3,IPF
Lifter 5560,F,SBD,Raw,25.0,59.6,76.2,52.5,72.9,201.6,112.8,USAPL
Lifter 5561,M,SBD,Wraps,55.0,71.8,74.1,46.9,117.5,238.5,116.0,WRPF
Lifter 5562,M,SBD,Single-ply,30.0,62.9,149.1,80.9,124.4,354.4,190.4,WRPF
Lifter 5563,M,SBD,Multi-ply,34.0,85.9,157.1,150.9,199.8,507.8,216.0,IPF
Lifter 5564,F,SBD,Wraps,40.0,54.7,84.8,42.8,72.7,200.3,119.5,IPF
Lifter 5565,M,SBD,Single-ply,27.0,102.8,228.3,102.2,183.2,513.7,190.9,USPA
Lifter 5566,F,SBD,Raw,31.0,63.8,69.2,50.8,69.8,189.8,100.9,USAPL
Lifter 5567,M,SBD,Raw,35.0,96.4,125.7,129.0,232.0,486.7,189.8,USPA
Lifter 5568,M,SBD,Raw,24.0,98.1,120.7,107.8,217.4,445.9,171.7,USPA
Lifter 5569,F,SBD,Single-ply,39.0,44.2,66.4,36.8,69.7,172.9,121.0,WRPF
Lifter 5570,M,SBD,Multi-ply,26.0,88.2,181.7,155.3,200.1,537.1,223.9,USAPL
Lifter 5571,M,SBD,Single-ply,45.0,76.1,181.3,92.7,179.0,453.0,211.0,USAPL
Lifter 5572,M,SBD,Raw,51.0,83.8,104.0,78.3,159.7,342.0,148.2,IPF
Lifter 5573,F,SBD,Raw,46.0,65.1,58.4,33.9,77.0,169.3,88.6,IPF
Lifter 5574,M,SBD,Multi-ply,,129.5,173.5,137.5,208.7,519.7,162.5,USAPL
Lifter 5575,m,SBD,Wraps,,79.2,158.8,75.4,135.5,369.7,167.1,IPF
Lifter 5576,F,SBD,Raw,26.0,71.2,68.3,53.6,91.3,213.2,104.4,USPA
Lifter 5577,F,SBD,Raw,50.0,66.0,69.5,53.2,69.5,192.2,99.6,USAPL
Lifter 5578,F,SBD,Single-ply,31.0,79.8,95.4,51.8,116.2,263.4,118.4,WRPF
Lifter 5579,F,SBD,Single-ply,36.0,63.1,68.4,48.0,94.0,210.4,112.8,USAPL
Lifter 5580,F,SBD,Raw,29.0,60.5,84.4,64.7,83.2,232.3,128.5,USAPL
Lifter 5581,M,SBD,Raw,28.0,86.0,177.5,103.4,150.2,431.1,183.2,USAPL
Lifter 5582,M,SBD,Single-ply,40.0,88.3,160.0,,177.2,,176.8,USAPL
Lifter 5583,F,SBD,Raw,,48.8,70.5,44.7,66.6,181.8,118.2,WRPF
Lifter 5584,F,SBD,Raw,24.0,68.5,94.4,49.4,98.4,242.2,122.1,IPF
Lifter 5585,F,SBD,Single-ply,31.0,88.4,127.1,66.2,80.5,273.8,114.0,USAPL
Lifter 5586,M,SBD,Wraps,62.0,91.4,91.1,43.8,142.1,277.0,112.4,IPF
Lifter 5587,M,SBD,Raw,43.0,81.5,161.5,95.8,180.3,437.6,193.6,WRPF
Lifter 5588,M,SBD,Multi-ply,31.0,61.4,145.0,98.4,143.4,386.8,211.6,WRPF
Lifter 5589,M,SBD,Raw,33.0,94.9,141.8,118.2,139.0,399.0,157.5,IPF
Lifter 5590,M,SBD,Raw,37.0,109.4,196.4,112.0,233.3,541.7,192.2,IPF
Lifter 5591,F,SBD,Raw,33.0,44.0,54.3,34.0,67.0,155.3,109.1,USPA
Lifter 5592,M,SBD,Raw,54.0,78.4,111.8,52.4,148.7,312.9,142.5,WRPF
Lifter 5593,M,SBD,Raw,42.0,62.5,126.2,,118.5,,185.4,USAPL
Lifter 5594,M,SBD,Single-ply,46.0,89.7,152.6,82.0,151.0,385.6,158.8,IPF
Lifter 5595,M,SBD,Raw,47.0,99.2,123.0,67.7,185.7,376.4,143.7,USPA
Lifter 5596,F,SBD,Raw,42.0,74.4,82.6,72.1,80.6,235.3,111.5,USPA
Lifter 5597,M,SBD,Wraps,,99.0,128.1,92.9,149.8,370.8,141.8,IPF
Lifter 5598,M,SBD,Raw,,87.3,95.3,84.1,128.5,307.9,129.4,USPA
Lifter 5599,M,SBD,Raw,45.0,92.7,164.2,58.2,76.5,298.9,120.1,IPF
Lifter 5600,M,SBD,Raw,27.0,94.3,136.7,125.9,155.0,417.6,165.6,USAPL
Lifter 5601,M,SBD,Raw,,88.1,129.2,66.7,123.7,319.6,133.4,USAPL
Lifter 5602,F,SBD,Raw,23.0,68.6,76.3,54.2,95.5,226.0,113.8,WRPF
Lifter 5603,F,SBD,Raw,42.0,51.2,67.2,43.8,53.0,164.0,102.8,USAPL
Lifter 5604,M,SBD,Wraps,39.0,77.7,106.9,90.6,198.6,396.1,181.6,IPF
Lifter 5605,M,SBD,Raw,33.0,44.0,67.8,58.9,123.6,250.3,175.8,USAPL
Lifter 5606,M,SBD,Raw,47.0,87.1,178.7,78.2,138.2,395.1,166.3,WRPF
Lifter 5607,M,SBD,Raw,36.0,96.6,197.6,129.5,179.4,506.5,197.3,USAPL
Lifter 5608,M,SBD,Single-ply,43.0,108.1,230.9,160.9,195.3,587.1,210.1,WRPF
Lifter 5609,F,SBD,Raw,27.0,87.1,87.9,39.3,117.3,244.5,102.9,USPA
Lifter 5610,M,SBD,Raw,50.0,90.6,136.7,92.2,137.1,366.0,149.6,IPF
Lifter 5611,F,SBD,Raw,48.0,68.3,70.3,54.9,84.1,209.3,105.7,IPF
Lifter 5612,M,SBD,Single-ply,37.0,75.0,152.9,114.6,219.2,486.7,229.2,IPF
Lifter 5613,M,SBD,Wraps,29.0,82.2,186.3,101.4,172.8,460.5,202.4,IPF
Lifter 5614,M,SBD,Raw,51.0,106.6,167.6,81.1,170.3,419.0,151.6,WRPF
Lifter 5615,M,SBD,Raw,24.0,78.9,147.5,115.6,156.1,419.2,190.0,USAPL
Lifter 5616,M,SBD,Raw,38.0,91.9,129.6,,191.9,,150.8,USPA
Lifter 5617,F,SBD,Raw,34.0,45.0,72.4,40.3,73.3,186.0,128.5,USAPL
Lifter 5618,M,SBD,Wraps,42.0,76.5,106.0,,167.1,,167.9,USPA
Lifter 5619,M,SBD,Raw,34.0,85.4,134.6,,229.7,,209.2,USPA
Lifter 5620,M,SBD,Raw,48.0,85.8,117.6,79.0,158.2,354.8,151.0,USAPL
Lifter 5621,M,SBD,Single-ply,27.0,86.4,142.3,131.6,132.6,406.5,172.1,USAPL
Lifter 5622,M,SBD,Single-ply,51.0,94.7,163.6,122.5,164.1,450.2,178.0,IPF
Lifter 5623,M,SBD,Multi-ply,36.0,51.0,115.2,81.5,171.9,368.6,231.8,IPF
Lifter 5624,M,SBD,Raw,32.0,80.8,134.4,115.4,167.8,417.6,185.9,USPA
Lifter 5625,M,SBD,Raw,41.0,100.3,131.6,104.2,153.1,388.9,147.2,USPA
Lifter 5626,F,SBD,Raw,47.0,64.4,69.1,42.0,68.1,179.2,94.6,USPA
Lifter 5627,F,SBD,Wraps,35.0,64.1,82.1,53.6,60.4,196.1,103.9,USPA
Lifter 5628,M,SBD,Raw,36.0,67.3,119.9,103.3,150.9,374.1,191.1,USPA
Lifter 5629,M,SBD,Raw,30.0,93.5,158.8,80.5,139.9,379.2,151.3,USAPL
Lifter 5630,M,SBD,Wraps,23.0,109.4,195.0,145.8,178.3,519.1,184.1,IPF
Lifter 5631,m,SBD,Wraps,32.0,73.9,147.5,99.1,147.5,394.1,187.6,WRPF
Lifter 5632,M,SBD,Raw,37.0,52.8,114.6,65.7,160.8,341.1,209.0,USAPL
Lifter 5633,M,SBD,Raw,,93.8,120.8,82.4,186.6,389.8,155.2,USAPL
Lifter 5634,M,SBD,Raw,,71.9,117.4,74.2,101.1,292.7,142.3,WRPF
Lifter 5635,F,SBD,Raw,27.0,85.2,92.8,58.2,116.1,267.1,114.3,USAPL
Lifter 5636,M,SBD,Raw,28.0,86.7,128.1,,159.1,,169.9,USAPL
Lifter 5637,F,SBD,Raw,27.0,77.4,76.8,63.2,106.9,246.9,113.5,USAPL
Lifter 5638,M,SBD,Raw,38.0,71.2,87.7,92.0,88.6,268.3,131.4,USAPL
Lifter 5639,M,SBD,Raw,42.0,91.9,190.7,99.3,176.3,466.3,188.5,IPF
Lifter 5640,M,SBD,Raw,38.0,82.3,144.7,91.4,175.9,412.0,180.9,USAPL
Lifter 5641,F,SBD,Wraps,42.0,54.5,63.1,23.3,74.2,160.6,96.1,IPF
Lifter 5642,F,SBD,Raw,28.0,49.6,76.4,45.9,69.6,191.9,123.2,WRPF
Lifter 5643,M,SBD,Raw,,68.0,147.4,77.2,93.9,318.5,161.4,WRPF
Lifter 5644,M,SBD,Raw,32.0,104.0,168.9,107.9,176.3,453.1,167.0,USAPL
Lifter 5645,M,SBD,Raw,35.0,115.4,195.9,111.3,229.5,536.7,182.9,WRPF
Lifter 5646,M,SBD,Raw,25.0,112.8,164.8,153.0,177.1,494.9,171.6,IPF
Lifter 5647,M,SBD,Raw,27.0,68.8,148.6,100.4,181.3,430.3,216.2,WRPF
Lifter 5648,M,SBD,Raw,37.0,91.0,147.3,125.0,177.5,449.8,183.2,USPA
Lifter 5649,M,SBD,Raw,,60.1,106.6,63.4,108.3,278.3,154.7,USPA
Lifter 5650,F,SBD,Raw,30.0,44.0,59.2,,47.7,,110.8,WRPF
Lifter 5651,M,SBD,Single-ply,34.0,79.7,127.1,124.3,187.6,439.0,197.5,USAPL
Lifter 5652,M,SBD,Raw,,95.5,157.0,83.1,119.4,359.5,141.2,USAPL
Lifter 5653,M,SBD,Raw,46.0,116.3,154.5,119.1,179.1,452.7,153.4,WRPF
Lifter 5654,M,SBD,Wraps,24.0,93.7,164.0,88.7,183.0,435.7,173.6,USPA
Lifter 5655,M,SBD,Raw,,93.4,157.7,84.6,149.7,392.0,156.6,IPF
Lifter 5656,F,SBD,Single-ply,39.0,62.4,83.9,53.7,90.1,227.7,123.1,USAPL
Lifter 5657,F,SBD,Raw,41.0,81.4,81.6,46.3,78.8,206.7,91.5,USAPL
Lifter 5658,M,SBD,Multi-ply,45.0,78.0,149.2,97.5,158.7,405.4,185.4,IPF
Lifter 5659,f,SBD,Raw,40.0,47.2,59.7,41.4,72.3,173.4,115.6,USPA
Lifter 5660,M,SBD,Raw,31.0,100.7,178.4,118.7,189.9,487.0,183.8,USPA
Lifter 5661,M,SBD,Wraps,38.0,104.3,184.4,137.8,211.5,533.7,196.2,WRPF
Lifter 5662,M,SBD,Raw,37.0,95.5,168.8,99.1,140.7,408.6,160.5,USPA
Lifter 5663,M,SBD,Raw,27.0,69.4,99.1,98.4,153.7,351.2,175.3,IPF
Lifter 5664,M,SBD,Single-ply,30.0,89.3,142.4,91.7,259.1,493.2,203.7,IPF
Lifter 5665,F,SBD,Single-ply,40.0,71.1,105.5,62.5,87.1,255.1,125.0,USPA
Lifter 5666,M,SBD,Raw,45.0,84.5,130.7,102.4,156.3,389.4,167.7,USPA
Lifter 5667,F,SBD,Multi-ply,32.0,54.7,92.8,57.3,90.4,240.5,143.5,USAPL
Lifter 5668,M,SBD,Raw,62.0,109.4,100.1,62.4,116.5,279.0,99.0,USAPL
Lifter 5669,f,SBD,Wraps,20.0,70.3,71.8,48.3,93.2,213.3,105.4,USAPL
Lifter 5670,M,SBD,Single-ply,36.0,130.6,143.8,114.8,290.6,549.2,170.6,USAPL
Lifter 5671,F,SBD,Raw,37.0,73.8,56.8,48.7,110.6,216.1,103.0,USAPL
Lifter 5672,M,SBD,Raw,48.0,99.0,191.7,94.0,155.5,441.2,168.7,USAPL
Lifter 5673,M,SBD,Wraps,30.0,100.9,219.4,109.9,160.9,490.2,184.8,USAPL
Lifter 5674,M,SBD,Single-ply,32.0,101.3,218.3,109.7,225.6,553.6,208.1,WRPF
Lifter 5675,F,SBD,Raw,32.0,75.4,103.8,69.0,100.6,273.4,128.2,USAPL
Lifter 5676,M,SBD,Raw,47.0,91.5,136.2,91.6,163.7,391.5,158.8,IPF
Lifter 5677,M,SBD,Raw,50.0,123.7,135.4,85.1,194.1,414.6,134.1,USAPL
Lifter 5678,F,SBD,Raw,33.0,44.0,62.9,36.2,85.4,184.5,129.6,IPF
Lifter 5679,M,SBD,Raw,29.0,83.4,148.2,142.5,177.9,468.6,203.8,USPA
Lifter 5680,F,SBD,Raw,,67.0,69.7,55.8,86.0,211.5,108.4,IPF
Lifter 5681,M,SBD,Raw,26.0,87.1,143.6,118.1,200.9,462.6,194.7,USAPL
Lifter 5682,M,SBD,Raw,,71.3,91.9,74.5,121.7,288.1,140.9,USAPL
Lifter 5683,M,SBD,Multi-ply,36.0,102.2,222.6,165.6,170.0,558.2,208.4,USAPL
Lifter 5684,M,SBD,Raw,46.0,95.0,179.7,93.5,148.4,421.6,166.3,IPF
Lifter 5685,M,SBD,Raw,34.0,123.7,171.9,122.8,258.2,552.9,178.9,USAPL
Lifter 5686,M,SBD,Raw,65.0,106.3,95.8,63.9,77.1,236.8,85.8,USAPL
Lifter 5687,M,SBD,Multi-ply,44.0,111.8,179.3,115.0,139.8,434.1,151.5,USPA
Lifter 5688,F,SBD,Wraps,40.0,77.4,109.4,69.3,108.6,287.3,132.1,USAPL
Lifter 5689,F,SBD,Single-ply,42.0,91.2,120.2,60.7,108.2,289.1,117.6,USAPL
Lifter 5690,M,SBD,Raw,28.0,83.6,139.8,108.8,159.1,407.7,177.0,USAPL
Lifter 5691,M,SBD,Raw,32.0,84.2,146.7,107.3,177.4,431.4,186.2,IPF
Lifter 5692,M,SBD,Raw,46.0,112.9,154.1,86.5,160.8,401.4,139.1,WRPF
Lifter 5693,F,SBD,Multi-ply,37.0,74.6,125.8,70.6,92.5,288.9,136.6,USPA
Lifter 5694,F,SBD,Single-ply,43.0,74.5,81.4,61.5,95.2,238.1,112.7,USPA
Lifter 5695,M,SBD,Raw,34.0,90.0,177.2,89.9,184.9,452.0,185.6,WRPF
Lifter 5696,m,SBD,Raw,35.0,112.8,214.8,86.9,225.4,527.1,182.7,IPF
Lifter 5697,F,SBD,Single-ply,50.0,53.7,60.0,51.6,76.6,188.2,113.8,USAPL
Lifter 5698,F,SBD,Raw,38.0,71.3,93.0,,71.3,,116.9,USAPL
Lifter 5699,M,SBD,Single-ply,,121.3,170.7,116.8,211.9,499.4,164.0,USAPL
Lifter 5700,F,SBD,Raw,36.0,85.1,102.9,68.7,88.1,259.7,111.2,USAPL
Lifter 5701,M,SBD,Single-ply,33.0,84.1,178.5,117.9,184.3,480.7,207.7,USAPL
Lifter 5702,M,SBD,Raw,34.0,97.0,148.3,112.2,155.8,416.3,161.6,USAPL
Lifter 5703,F,SBD,Single-ply,37.0,80.3,101.9,58.7,111.9,272.5,121.9,IPF
Lifter 5704,M,SBD,Raw,51.0,78.1,94.9,66.9,129.7,291.5,133.1,USAPL
Lifter 5705,M,SBD,Raw,37.0,85.3,168.5,,167.4,,185.0,USAPL
Lifter 5706,F,SBD,Raw,48.0,84.6,65.5,39.4,93.6,198.5,85.4,IPF
Lifter 5707,f,SBD,Wraps,29.0,98.8,125.3,61.7,82.2,269.2,103.1,USAPL
Lifter 5708,M,SBD,Raw,41.0,68.0,152.7,72.5,158.3,383.5,194.3,USPA
Lifter 5709,M,SBD,Raw,23.0,115.3,149.3,130.0,231.3,510.6,174.1,USAPL
Lifter 5710,F,SBD,Raw,,89.8,113.2,45.9,97.2,256.3,105.4,IPF
Lifter 5711,M,SBD,Raw,30.0,78.5,130.9,97.2,147.0,375.1,170.7,USAPL
Lifter 5712,F,SBD,Raw,,98.0,105.5,59.8,92.6,257.9,99.4,IPF
Lifter 5713,F,SBD,Raw,48.0,65.1,74.6,,96.5,,119.5,IPF
Lifter 5714,M,SBD,Raw,23.0,109.5,123.5,141.0,212.5,477.0,169.1,USAPL
Lifter 5715,M,SBD,Raw,50.0,90.2,87.5,103.2,172.7,363.4,149.0,USAPL
Lifter 5716,F,SBD,Raw,23.0,93.1,81.2,57.0,137.1,275.3,110.2,USAPL
Lifter 5717,F,SBD,Raw,33.0,96.7,124.7,70.3,127.8,322.8,125.6,IPF
Lifter 5718,M,SBD,Raw,34.0,104.4,155.1,105.7,187.6,448.4,164.7,IPF
Lifter 5719,M,SBD,Single-ply,55.0,120.5,179.5,99.0,191.2,469.7,155.0,IPF
Lifter 5720,F,SBD,Raw,44.0,75.4,77.4,47.3,91.0,215.7,101.2,WRPF
Lifter 5721,M,SBD,Raw,60.0,70.5,78.4,65.2,117.3,260.9,128.7,USAPL
Lifter 5722,M,SBD,Raw,63.0,87.7,102.7,43.8,109.5,256.0,107.2,USAPL
Lifter 5723,F,SBD,Raw,48.0,55.3,58.7,33.0,69.9,161.6,95.6,USPA
Lifter 5724,F,SBD,Raw,30.0,68.4,81.5,49.3,91.1,221.9,112.0,IPF
Lifter 5725,F,SBD,Raw,41.0,86.0,66.8,,82.2,,89.0,USPA
Lifter 5726,M,SBD,Wraps,37.0,72.6,155.7,117.2,124.8,397.7,191.9,IPF
Lifter 5727,M,SBD,Raw,,86.8,137.5,107.7,176.5,421.7,177.9,WRPF
Lifter 5728,F,SBD,Raw,47.0,66.6,67.9,53.0,87.2,208.1,107.1,IPF
Lifter 5729,M,SBD,Single-ply,26.0,114.4,225.2,129.0,235.1,589.3,202.2,USAPL
Lifter 5730,M,SBD,Single-ply,29.0,75.3,142.4,132.9,146.2,421.5,197.9,WRPF
Lifter 5731,F,SBD,Raw,23.0,59.0,67.7,38.8,78.0,184.5,104.0,USPA
Lifter 5732,F,SBD,Raw,28.0,88.9,86.9,56.6,100.7,244.2,101.2,IPF
Lifter 5733,F,SBD,Raw,30.0,71.4,78.9,58.4,90.8,228.1,111.4,USPA
Lifter 5734,M,SBD,Single-ply,,111.2,202.5,115.6,234.1,552.2,193.5,WRPF
Lifter 5735,F,SBD,Raw,48.0,67.8,59.1,54.4,69.9,183.4,93.1,IPF
Lifter 5736,M,SBD,Multi-ply,32.0,127.5,289.8,136.7,305.5,732.0,231.5,USPA
Lifter 5737,F,SBD,Raw,48.0,53.5,67.4,38.2,60.7,166.3,100.9,USPA
Lifter 5738,F,SBD,Raw,63.0,66.3,43.0,27.8,38.2,109.0,56.3,IPF
Lifter 5739,M,SBD,Single-ply,50.0,119.8,147.7,134.8,208.2,490.7,162.6,USAPL
Lifter 5740,F,SBD,Raw,29.0,62.3,70.7,53.9,92.9,217.5,117.7,USPA
Lifter 5741,M,SBD,Raw,31.0,111.6,192.8,85.4,175.3,453.5,158.5,WRPF
Lifter 5742,F,SBD,Single-ply,,96.5,128.0,70.6,109.1,307.7,119.9,USPA
Lifter 5743,F,SBD,Raw,30.0,80.4,97.6,55.4,102.8,255.8,114.3,WRPF
Lifter 5744,F,SBD,Raw,,68.4,61.0,50.9,91.9,203.8,102.8,USPA
Lifter 5745,M,SBD,Raw,41.0,74.0,122.6,87.9,157.5,368.0,175.0,USAPL
Lifter 5746,M,SBD,Raw,44.0,77.6,112.6,84.5,191.8,388.9,178.5,WRPF
Lifter 5747,F,SBD,Single-ply,39.0,57.2,71.8,45.2,83.8,200.8,115.9,IPF
Lifter 5748,F,SBD,Raw,27.0,64.2,71.5,,88.1,,110.7,USPA
Lifter 5749,F,SBD,Raw,33.0,81.0,78.3,49.3,96.0,223.6,99.4,USAPL
Lifter 5750,M,SBD,Raw,50.0,111.9,168.3,81.0,169.1,418.4,145.9,USAPL
Lifter 5751,M,SBD,Raw,37.0,71.6,82.6,89.4,134.7,306.7,149.5,IPF
Lifter 5752,F,SBD,Raw,58.0,88.4,70.9,37.6,70.9,179.4,74.7,USAPL
Lifter 5753,F,SBD,Raw,39.0,60.7,82.2,60.3,55.4,197.9,109.2,WRPF
Lifter 5754,M,SBD,Raw,26.0,106.6,141.6,78.2,192.9,412.7,149.3,USPA
Lifter 5755,M,SBD,Raw,29.0,87.9,157.7,79.1,158.2,395.0,165.1,WRPF
Lifter 5756,M,SBD,Raw,43.0,110.9,164.3,95.4,162.5,422.2,148.3,USAPL
Lifter 5757,M,SBD,Raw,51.0,90.7,100.6,100.8,146.6,348.0,142.1,USAPL
Lifter 5758,M,SBD,Raw,38.0,123.6,224.9,108.1,122.5,455.5,147.5,USAPL
Lifter 5759,M,SBD,Raw,38.0,97.4,205.7,112.4,169.5,487.6,188.7,USAPL
Lifter 5760,M,SBD,Multi-ply,41.0,61.5,153.1,106.5,163.6,423.2,231.2,USAPL
Lifter 5761,F,SBD,Raw,42.0,60.0,56.1,44.8,91.8,192.7,107.3,USAPL
Lifter 5762,F,SBD,Wraps,31.0,67.0,95.0,57.1,116.1,268.2,137.4,WRPF
Lifter 5763,F,SBD,Raw,24.0,74.6,82.2,73.0,85.6,240.8,113.8,USPA
Lifter 5764,M,SBD,Raw,43.0,85.5,122.8,102.4,162.1,387.3,165.3,USAPL
Lifter 5765,M,SBD,Wraps,37.0,103.1,210.4,113.1,135.4,458.9,170.2,IPF
Lifter 5766,M,SBD,Raw,41.0,107.5,158.9,140.5,203.6,503.0,180.8,USPA
Lifter 5767,M,SBD,Single-ply,35.0,105.3,164.9,145.4,199.6,509.9,186.1,IPF
Lifter 5768,M,SBD,Raw,41.0,91.6,149.0,99.8,167.3,416.1,168.6,USAPL
Lifter 5769,F,SBD,Raw,,78.5,81.1,38.3,111.9,231.3,105.2,IPF
Lifter 5770,F,SBD,Raw,33.0,84.3,71.5,63.6,114.4,249.5,107.6,IPF
Lifter 5771,F,SBD,Single-ply,28.0,76.9,102.2,,69.4,,104.9,IPF
Lifter 5772,M,SBD,Raw,33.0,106.1,191.3,,169.4,,173.2,USPA
Lifter 5773,M,SBD,Single-ply,26.0,80.2,146.4,114.4,178.3,439.1,196.6,USPA
Lifter 5774,M,SBD,Raw,45.0,121.5,182.7,108.7,144.6,436.0,143.0,USPA
Lifter 5775,M,SBD,Raw,54.0,110.2,152.0,55.2,174.6,381.8,134.7,USAPL
Lifter 5776,F,SBD,Single-ply,26.0,69.3,72.1,45.1,111.1,228.3,114.1,USAPL
Lifter 5777,M,SBD,Multi-ply,,91.6,208.5,143.1,186.2,537.8,218.0,IPF
Lifter 5778,F,SBD,Raw,35.0,72.7,71.2,27.6,62.7,161.5,77.8,USAPL
Lifter 5779,M,SBD,Wraps,55.0,75.8,121.2,73.5,134.8,329.5,153.9,USAPL
Lifter 5780,F,SBD,Raw,37.0,85.6,90.1,54.4,98.0,242.5,103.4,IPF
Lifter 5781,F,SBD,Raw,50.0,68.4,75.7,43.3,79.9,198.9,100.4,IPF
Lifter 5782,M,SBD,Raw,44.0,111.3,114.7,115.3,180.4,410.4,143.7,USAPL
Lifter 5783,F,SBD,Raw,39.0,59.7,76.9,48.1,62.2,187.2,104.6,WRPF
Lifter 5784,M,SBD,Raw,32.0,116.9,209.2,135.5,196.6,541.3,182.7,USAPL
Lifter 5785,F,SBD,Raw,40.0,54.0,68.2,52.4,55.8,176.4,106.3,USPA
Lifter 5786,F,SBD,Raw,28.0,93.0,139.7,70.1,96.7,306.5,122.8,IPF
Lifter 5787,F,SBD,Wraps,33.0,87.8,91.1,43.5,114.9,249.5,104.4,IPF
Lifter 5788,F,SBD,Raw,23.0,53.3,71.8,39.6,56.2,167.6,102.0,IPF
Lifter 5789,M,SBD,Raw,52.0,95.1,153.3,112.7,148.5,414.5,163.3,IPF
Lifter 5790,F,SBD,Raw,38.0,55.2,83.8,39.4,51.6,174.8,103.6,USAPL
Lifter 5791,F,SBD,Raw,52.0,76.4,65.0,57.0,90.4,212.4,98.6,IPF
Lifter 5792,M,SBD,Raw,38.0,89.5,163.0,95.7,140.0,398.7,164.4,USAPL
Lifter 5793,M,SBD,Raw,39.0,71.1,132.7,71.0,157.1,360.8,176.8,USAPL
Lifter 5794,f,SBD,Raw,,54.8,48.8,46.4,58.5,153.7,91.6,USAPL
Lifter 5795,M,SBD,Raw,36.0,125.0,173.6,161.3,240.2,575.1,184.6,IPF
Lifter 5796,M,SBD,Raw,35.0,75.9,123.0,105.9,108.0,336.9,157.2,IPF
Lifter 5797,F,SBD,Raw,34.0,80.4,83.3,57.3,93.0,233.6,104.4,IPF
Lifter 5798,M,SBD,Raw,29.0,90.9,194.5,89.5,154.7,438.7,178.8,WRPF
Lifter 5799,M,SBD,Raw,34.0,98.4,130.6,116.4,146.8,393.8,151.3,USPA
Lifter 5800,M,SBD,Raw,48.0,88.9,131.6,82.0,133.0,346.6,143.7,USPA
Lifter 5801,M,SBD,Wraps,33.0,68.1,124.8,77.1,144.9,346.8,175.5,IPF
Lifter 5802,F,SBD,Wraps,62.0,55.7,49.5,30.6,42.3,122.4,72.0,USAPL
Lifter 5803,M,SBD,Raw,23.0,98.8,153.7,114.4,209.8,477.9,183.0,WRPF
Lifter 5804,M,SBD,Raw,49.0,128.1,164.0,,198.0,,150.0,USPA
Lifter 5805,F,SBD,Multi-ply,34.0,72.7,98.1,46.6,132.5,277.2,133.6,USPA
Lifter 5806,F,SBD,Raw,42.0,80.2,71.1,60.2,78.0,209.3,93.7,WRPF
Lifter 5807,F,SBD,Single-ply,29.0,96.2,85.8,77.1,130.3,293.2,114.5,USAPL
Lifter 5808,M,SBD,Wraps,24.0,104.0,195.6,115.8,205.9,517.3,190.6,USAPL
Lifter 5809,F,SBD,Raw,46.0,71.2,65.8,37.7,82.4,185.9,91.0,USAPL
Lifter 5810,M,SBD,Wraps,52.0,80.6,125.7,69.0,90.5,285.2,127.2,IPF
Lifter 5811,M,SBD,Raw,37.0,67.1,130.4,86.3,129.4,346.1,177.1,USAPL
Lifter 5812,F,SBD,Raw,33.0,73.4,104.3,47.0,61.8,213.1,102.0,IPF
Lifter 5813,F,SBD,Raw,36.0,64.8,86.5,,61.6,,101.4,USPA
Lifter 5814,M,SBD,Single-ply,,87.6,166.0,112.5,216.1,494.6,207.3,WRPF
Lifter 5815,F,SBD,Wraps,,95.5,112.2,66.4,105.0,283.6,111.4,USPA
Lifter 5816,M,SBD,Raw,38.0,44.0,77.2,71.7,113.9,262.8,184.6,WRPF
Lifter 5817,M,SBD,Raw,42.0,69.4,122.2,92.4,127.7,342.3,170.8,USPA
Lifter 5818,M,SBD,Raw,41.0,94.5,130.3,107.2,193.6,431.1,170.7,USPA
Lifter 5819,M,SBD,Raw,31.0,90.4,184.0,93.5,192.7,470.2,192.5,USPA
Lifter 5820,f,SBD,Wraps,34.0,86.9,88.6,51.0,105.9,245.5,103.5,USAPL
Lifter 5821,F,SBD,Raw,28.0,54.1,74.1,46.7,73.1,193.9,116.6,IPF
Lifter 5822,F,SBD,Wraps,41.0,75.8,80.6,64.5,88.9,234.0,109.3,USAPL
